"DATE","Year","Month","Day","Tmin","Tmax","Prec","ssp","gcm","scenario_year","yday","season","id"
"2000-09-30 12:00:00",2000,9,30,12.27,13.99,5.43,"ssp126","ACCESS-CM2","2075",274,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-01 12:00:00",2000,10,1,11.54,14.55,0.68,"ssp126","ACCESS-CM2","2075",275,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-02 12:00:00",2000,10,2,4.09,17.16,0,"ssp126","ACCESS-CM2","2075",276,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-03 12:00:00",2000,10,3,4.53,13.64,0,"ssp126","ACCESS-CM2","2075",277,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-04 12:00:00",2000,10,4,7.39,10.86,0.14,"ssp126","ACCESS-CM2","2075",278,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-05 12:00:00",2000,10,5,8.07,12.83,0,"ssp126","ACCESS-CM2","2075",279,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-06 12:00:00",2000,10,6,1.78,16.82,0,"ssp126","ACCESS-CM2","2075",280,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-07 12:00:00",2000,10,7,2.48,15.68,0,"ssp126","ACCESS-CM2","2075",281,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-08 12:00:00",2000,10,8,2.96,17.95,0,"ssp126","ACCESS-CM2","2075",282,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-09 12:00:00",2000,10,9,10.26,19.75,3.83,"ssp126","ACCESS-CM2","2075",283,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-10 12:00:00",2000,10,10,12.23,22.9,2.26,"ssp126","ACCESS-CM2","2075",284,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-11 12:00:00",2000,10,11,10.34,21.95,2.19,"ssp126","ACCESS-CM2","2075",285,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-12 12:00:00",2000,10,12,14.96,26.9,2.45,"ssp126","ACCESS-CM2","2075",286,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-13 12:00:00",2000,10,13,12.57,29.36,0,"ssp126","ACCESS-CM2","2075",287,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-14 12:00:00",2000,10,14,10.73,28.51,0,"ssp126","ACCESS-CM2","2075",288,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-15 12:00:00",2000,10,15,13.39,25.91,5.52,"ssp126","ACCESS-CM2","2075",289,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-16 12:00:00",2000,10,16,9.23,23.34,0,"ssp126","ACCESS-CM2","2075",290,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-17 12:00:00",2000,10,17,10.71,21.7,2.45,"ssp126","ACCESS-CM2","2075",291,2001,"ssp126--ACCESS-CM2--2075"
"2000-10-18 12:00:00",2000,10,18,8.16,18.98,9.13,"ssp126","ACCESS-CM2","2075",292,2001,"ssp126--ACCESS-CM2--2075"
